% 1. Title: POSTag dataset
%
% 2. Sources: UD_Indonesian
%
@RELATION postag
@ATTRIBUTE form NUMERIC
@ATTRIBUTE prevpostag NUMERIC
@ATTRIBUTE class {_,PROPN,AUX,DET,NOUN,PRON,VERB,ADP,PUNCT,ADV,CCONJ,SCONJ,NUM,ADJ,PART,SYM,X}
@DATA
158,7,NOUN
159,4,PROPN
160,1,PROPN
16,1,PUNCT
161,8,PROPN
5,1,PRON
162,5,NOUN
163,4,NOUN
164,4,VERB
165,6,VERB
7,6,ADP
166,7,PROPN
167,1,PROPN
168,1,PROPN
169,1,ADP
170,7,NOUN
47,4,NOUN
64,4,PUNCT
171,8,NUM
172,12,PUNCT
173,8,NUM
16,12,PUNCT
174,8,PRON
118,5,ADV
175,9,ADP
176,7,DET
177,3,ADJ
178,13,NOUN
179,4,NOUN
5,4,PRON
180,5,VERB
181,6,SCONJ
182,11,NOUN
7,4,ADP
183,7,PROPN
184,1,PROPN
185,1,ADV
186,9,ADJ
16,13,PUNCT
187,8,NOUN
36,4,DET
188,3,VERB
189,6,NOUN
5,4,PRON
190,5,VERB
191,6,PUNCT
192,8,PROPN
193,1,PROPN
194,1,PUNCT
195,8,NOUN
196,4,VERB
197,6,ADJ
81,13,NUM
198,12,NOUN
199,4,ADP
200,7,PROPN
5,1,PRON
201,5,VERB
46,6,ADP
202,7,NOUN
107,4,DET
16,3,PUNCT
203,8,PROPN
204,1,PROPN
2,1,AUX
3,2,DET
205,3,NOUN
7,4,ADP
206,7,PROPN
207,1,PROPN
208,1,PROPN
10,1,PUNCT
208,8,PROPN
10,1,PUNCT
209,8,PROPN
10,1,PUNCT
210,8,VERB
38,6,ADP
211,7,PROPN
212,1,PROPN
16,1,PUNCT
213,8,NOUN
36,4,DET
214,3,VERB
127,6,ADP
60,7,NOUN
215,4,VERB
216,6,VERB
217,6,ADJ
10,13,PUNCT
111,8,ADP
218,7,VERB
107,6,NOUN
219,4,SCONJ
220,11,NOUN
60,4,NOUN
221,4,VERB
199,6,ADP
222,7,PROPN
223,1,ADP
224,7,ADV
225,9,ADV
226,9,ADJ
227,13,ADP
107,7,NOUN
111,4,ADP
218,7,VERB
228,6,NOUN
217,4,ADJ
60,13,NOUN
36,4,DET
229,3,VERB
24,6,ADP
230,7,NOUN
231,4,NOUN
232,4,NOUN
233,4,PROPN
234,1,PROPN
235,1,PROPN
236,1,NUM
227,12,ADP
237,7,NUM
82,12,NOUN
230,4,NOUN
238,4,NOUN
111,4,ADP
228,7,NOUN
239,4,ADJ
16,13,PUNCT
240,8,PROPN
36,1,DET
241,3,VERB
46,6,ADP
242,7,PROPN
243,1,PROPN
244,1,NUM
7,12,ADP
245,7,PROPN
16,1,PUNCT
246,8,PART
201,14,VERB
247,6,NOUN
248,4,NOUN
249,4,PROPN
132,1,PUNCT
250,8,VERB
24,6,ADP
251,7,NOUN
172,4,PUNCT
251,8,NOUN
252,4,ADJ
135,13,PUNCT
253,8,CCONJ
254,10,NOUN
255,4,NOUN
256,4,VERB
249,6,NOUN
16,4,PUNCT
257,8,PROPN
258,1,PROPN
259,1,PROPN
260,1,VERB
10,6,PUNCT
139,8,PUNCT
261,8,NOUN
262,4,PRON
199,5,ADP
263,7,ADJ
102,13,PART
264,14,VERB
265,6,NOUN
266,4,PROPN
172,1,PUNCT
267,8,PROPN
16,1,PUNCT
268,8,PROPN
15,1,PROPN
27,1,CCONJ
269,10,NOUN
270,4,NOUN
271,4,ADJ
272,13,VERB
46,6,ADP
273,7,NOUN
47,4,NOUN
274,4,NUM
172,12,PUNCT
173,8,NUM
27,12,CCONJ
275,10,NUM
172,12,PUNCT
173,8,NUM
16,12,PUNCT
276,8,NOUN
36,4,DET
277,3,NOUN
7,4,ADP
84,7,NOUN
278,4,NOUN
16,4,PUNCT
279,8,NOUN
5,4,PRON
280,5,PRON
281,5,VERB
10,6,PUNCT
27,8,CCONJ
282,10,NOUN
280,4,PRON
283,5,VERB
284,6,PUNCT
285,8,PROPN
286,1,PROPN
10,1,PUNCT
285,8,PROPN
287,1,PROPN
10,1,PUNCT
285,8,PROPN
288,1,PROPN
10,1,PUNCT
285,8,PROPN
289,1,PROPN
10,1,PUNCT
285,8,PROPN
290,1,PROPN
10,1,PUNCT
27,8,CCONJ
285,10,PROPN
291,1,PROPN
16,1,PUNCT
292,8,NOUN
293,4,NOUN
294,4,ADJ
295,13,ADJ
23,13,CCONJ
294,10,ADJ
296,13,ADJ
284,13,PUNCT
297,8,DET
298,3,NOUN
299,4,NOUN
300,4,SYM
301,15,NOUN
4,4,NOUN
302,4,PROPN
16,1,PUNCT
303,8,ADV
224,9,ADV
304,9,PRON
102,5,PART
305,14,VERB
306,6,NOUN
5,4,PRON
307,5,ADJ
308,13,ADV
29,9,DET
309,3,NOUN
36,4,DET
284,3,PUNCT
310,8,PROPN
16,1,PUNCT
311,8,PROPN
196,1,VERB
312,6,PROPN
313,1,PROPN
300,1,SYM
314,15,PROPN
315,1,PROPN
316,1,PROPN
317,1,PROPN
318,1,PROPN
16,1,PUNCT
319,8,PRON
320,5,VERB
127,6,ADP
321,7,NOUN
322,4,NUM
323,12,NOUN
324,4,NOUN
325,4,NOUN
326,4,PROPN
15,1,PROPN
111,1,ADP
327,7,NOUN
328,4,NUM
172,12,PUNCT
329,8,NUM
16,12,PUNCT
330,8,PROPN
27,1,CCONJ
331,10,PROPN
2,1,AUX
138,2,NOUN
332,4,NOUN
333,4,PROPN
334,1,PROPN
5,1,PRON
335,5,VERB
336,6,NUM
128,12,NOUN
337,4,ADJ
132,13,PUNCT
139,8,PUNCT
330,8,PROPN
27,1,CCONJ
331,10,PROPN
139,1,PUNCT
10,8,PUNCT
139,8,PUNCT
338,8,PROPN
339,1,PROPN
139,1,PUNCT
10,8,PUNCT
27,8,CCONJ
139,10,PUNCT
340,8,PROPN
341,1,PROPN
342,1,PROPN
139,1,PUNCT
135,8,PUNCT
27,8,CCONJ
343,10,NOUN
2,4,AUX
128,2,NOUN
172,4,PUNCT
128,8,NOUN
5,4,PRON
344,5,VERB
199,6,ADP
138,7,NOUN
172,4,PUNCT
138,8,NOUN
332,4,NOUN
333,4,PROPN
345,1,ADJ
253,13,CCONJ
138,10,NOUN
172,4,PUNCT
138,8,NOUN
333,4,PROPN
346,1,SYM
347,15,PROPN
16,1,PUNCT
348,8,NOUN
36,4,DET
349,3,ADV
350,9,VERB
38,6,ADP
351,7,NOUN
352,4,NOUN
5,4,PRON
353,5,VERB
354,6,NOUN
355,4,ADP
356,7,NOUN
357,4,ADJ
5,13,PRON
358,5,ADV
359,9,VERB
111,6,ADP
360,7,DET
361,3,NOUN
362,4,NOUN
363,4,ADJ
10,13,PUNCT
23,8,CCONJ
351,10,NOUN
364,4,NOUN
365,4,NOUN
5,4,PRON
353,5,VERB
366,6,NOUN
355,4,ADP
367,7,NOUN
10,4,PUNCT
23,8,CCONJ
368,10,VERB
369,6,NOUN
5,4,PRON
20,5,ADV
370,9,VERB
371,6,VERB
372,6,NOUN
46,4,ADP
373,7,NOUN
374,4,NOUN
16,4,PUNCT
375,8,PROPN
2,1,AUX
376,2,PROPN
7,1,ADP
8,7,NOUN
377,4,PROPN
378,1,PROPN
10,1,PUNCT
379,8,PROPN
378,1,PROPN
380,1,PROPN
10,1,PUNCT
378,8,PROPN
10,1,PUNCT
15,8,PROPN
16,1,PUNCT
381,8,PROPN
199,1,ADP
382,7,NOUN
383,4,VERB
384,6,NOUN
70,4,ADP
385,7,PROPN
16,1,PUNCT
386,8,PROPN
387,1,PROPN
119,1,NUM
2,12,AUX
388,2,PROPN
389,1,ADJ
27,13,CCONJ
390,10,ADJ
16,13,PUNCT
391,8,PROPN
392,1,PROPN
393,1,PROPN
132,1,PUNCT
135,8,PUNCT
2,8,AUX
394,2,DET
395,3,NOUN
27,4,CCONJ
396,10,NOUN
397,4,NOUN
398,4,NOUN
399,4,NOUN
15,4,PROPN
16,1,PUNCT
400,8,NOUN
139,4,PUNCT
401,8,NOUN
139,4,PUNCT
7,8,ADP
402,7,PROPN
403,1,PROPN
378,1,PROPN
404,1,PROPN
405,1,VERB
118,6,ADV
24,9,ADP
139,7,PUNCT
406,8,PROPN
407,1,PROPN
139,1,PUNCT
408,8,SCONJ
7,11,ADP
409,7,PROPN
405,1,VERB
24,6,ADP
410,7,NOUN
139,4,PUNCT
411,8,PROPN
139,1,PUNCT
16,8,PUNCT
412,8,PROPN
2,1,AUX
3,2,DET
4,3,NOUN
7,4,ADP
413,7,NOUN
401,4,PROPN
414,1,PROPN
10,1,PUNCT
379,8,PROPN
415,1,PROPN
10,1,PUNCT
416,8,PROPN
13,1,PROPN
417,1,PROPN
16,1,PUNCT
418,8,NOUN
419,4,NOUN
420,4,PROPN
132,1,PUNCT
421,8,PROPN
422,1,PROPN
135,1,PUNCT
423,8,ADV
424,9,VERB
7,6,ADP
360,7,DET
425,3,NOUN
7,4,ADP
426,7,PROPN
27,1,CCONJ
427,10,ADV
428,9,ADJ
7,13,ADP
178,7,NOUN
429,4,NOUN
430,4,NOUN
431,4,NOUN
16,4,PUNCT
432,8,PROPN
433,1,PROPN
132,1,PUNCT
135,8,PUNCT
2,8,AUX
197,2,DET
81,3,DET
434,3,NOUN
435,4,NOUN
15,4,PROPN
16,1,PUNCT
436,8,VERB
437,6,PROPN
438,1,PROPN
10,1,PUNCT
439,8,NOUN
336,4,NUM
440,12,PROPN
441,1,VERB
46,6,ADP
47,7,NOUN
442,4,NUM
443,12,PROPN
10,1,PUNCT
31,8,SCONJ
444,11,NOUN
445,4,NOUN
440,4,PROPN
10,1,PUNCT
27,8,CCONJ
446,10,PROPN
264,1,VERB
447,6,NOUN
448,4,PROPN
16,1,PUNCT
449,8,NOUN
450,4,PROPN
10,1,PUNCT
451,8,NOUN
452,4,PROPN
256,1,VERB
453,6,PROPN
454,1,ADV
16,9,PUNCT
455,8,DET
242,3,NOUN
456,4,ADP
457,7,PROPN
27,1,CCONJ
458,10,NOUN
172,4,PUNCT
458,8,NOUN
459,4,VERB
199,6,ADP
460,7,NOUN
10,4,PUNCT
32,8,PRON
461,5,ADV
462,9,VERB
463,6,NOUN
464,4,NOUN
16,4,PUNCT
465,8,PROPN
466,1,PROPN
467,1,PROPN
10,1,PUNCT
196,8,VERB
197,6,DET
81,3,DET
468,3,NOUN
469,4,PROPN
470,1,PROPN
471,1,PROPN
5,1,PRON
201,5,VERB
7,6,ADP
416,7,PROPN
472,1,PROPN
473,1,PROPN
10,1,PUNCT
5,8,PRON
474,5,VERB
7,6,ADP
475,7,PROPN
16,1,PUNCT
476,8,PROPN
10,1,PUNCT
477,8,PROPN
478,1,PROPN
322,1,PROPN
401,1,NOUN
467,4,PROPN
172,1,PUNCT
479,8,PROPN
16,1,PUNCT
480,8,ADV
481,9,PROPN
482,1,ADV
483,9,VERB
92,6,VERB
284,6,PUNCT
484,8,ADP
138,7,NOUN
485,4,PROPN
16,1,PUNCT
486,8,PROPN
487,1,PROPN
488,1,PROPN
489,1,PROPN
490,1,NOUN
10,4,PUNCT
491,8,NOUN
36,4,DET
118,3,ADV
492,9,VERB
493,6,DET
494,3,NOUN
430,4,NOUN
495,4,PROPN
75,1,ADP
128,7,NOUN
64,4,PUNCT
496,8,PROPN
497,1,PROPN
498,1,PROPN
497,1,PROPN
64,1,PUNCT
10,8,PUNCT
499,8,NOUN
7,4,ADP
64,7,PUNCT
500,8,PROPN
501,1,PROPN
64,1,PUNCT
502,8,PROPN
503,1,PROPN
172,1,PUNCT
504,8,PROPN
64,1,PUNCT
10,8,PUNCT
494,8,NOUN
430,4,NOUN
505,4,VERB
7,6,ADP
64,7,PUNCT
506,8,PROPN
507,1,PROPN
508,1,PROPN
64,1,PUNCT
10,8,PUNCT
509,8,PROPN
7,1,ADP
64,7,PUNCT
510,8,PROPN
511,1,PROPN
512,1,PROPN
64,1,PUNCT
10,8,PUNCT
513,8,NOUN
7,4,ADP
64,7,PUNCT
514,8,PROPN
515,1,PROPN
516,1,PROPN
517,1,PROPN
518,1,PROPN
16,1,PUNCT
519,8,PROPN
64,1,PUNCT
27,8,CCONJ
53,10,ADV
520,9,NOUN
521,4,ADV
16,9,PUNCT
522,8,NOUN
523,4,ADJ
349,13,ADV
524,9,ADV
525,9,VERB
127,6,ADP
144,7,DET
526,3,NOUN
199,4,ADP
527,7,NOUN
528,4,NOUN
529,4,ADP
527,7,NOUN
528,4,NOUN
252,4,ADJ
132,13,PUNCT
530,8,NOUN
531,4,PROPN
135,1,PUNCT
10,8,PUNCT
23,8,CCONJ
127,10,ADP
532,7,NOUN
533,4,ADP
59,7,NUM
527,12,NOUN
528,4,NOUN
132,4,PUNCT
534,8,NOUN
535,4,NOUN
536,4,NOUN
10,4,PUNCT
537,8,PROPN
172,1,PUNCT
538,8,PROPN
539,1,PROPN
135,1,PUNCT
16,8,PUNCT
540,8,PROPN
541,1,PROPN
542,1,VERB
7,6,ADP
543,7,NOUN
544,4,NOUN
545,4,NOUN
546,4,NOUN
27,4,CCONJ
188,10,VERB
547,6,NOUN
71,4,NOUN
548,4,NUM
549,12,SYM
10,15,PUNCT
27,8,CCONJ
196,10,VERB
550,6,NOUN
71,4,NOUN
545,4,NOUN
16,4,PUNCT
551,8,PROPN
552,1,ADJ
553,13,PROPN
328,1,NUM
2,12,AUX
554,2,NOUN
7,4,ADP
553,7,PROPN
5,1,PRON
555,5,VERB
556,6,NOUN
27,4,CCONJ
557,10,NOUN
558,4,NOUN
553,4,PROPN
10,1,PUNCT
127,8,ADP
559,7,NOUN
199,4,ADP
560,7,NOUN
556,4,NOUN
561,4,NOUN
328,4,NUM
16,12,PUNCT
562,8,DET
563,3,NUM
564,12,SYM
565,15,PROPN
566,1,VERB
7,6,ADP
75,7,ADP
567,7,NOUN
568,4,NOUN
16,4,PUNCT
569,8,CCONJ
10,10,PUNCT
309,8,NOUN
36,4,DET
570,3,ADV
120,9,VERB
571,6,PROPN
572,1,PROPN
5,1,PRON
118,5,ADV
188,9,VERB
573,6,NOUN
574,4,VERB
575,6,VERB
16,6,PUNCT
576,8,VERB
201,6,VERB
577,6,ADP
578,7,NUM
54,12,ADP
579,7,NUM
580,12,NUM
581,12,NOUN
582,4,NOUN
583,4,PROPN
7,1,ADP
561,7,NOUN
16,4,PUNCT
319,8,PRON
584,5,VERB
394,6,DET
585,3,NOUN
27,4,CCONJ
586,10,NUM
587,12,DET
588,3,NOUN
16,4,PUNCT
589,8,PROPN
590,1,VERB
591,6,ADV
592,9,VERB
59,6,NUM
593,12,NOUN
15,4,PROPN
27,1,CCONJ
594,10,PROPN
595,1,VERB
596,6,DET
597,3,NOUN
16,4,PUNCT
598,8,DET
599,3,NOUN
600,4,VERB
601,6,PROPN
602,1,PROPN
10,1,PUNCT
603,8,SCONJ
201,11,VERB
524,6,ADV
604,9,ADV
587,9,NOUN
605,4,PROPN
7,1,ADP
606,7,NOUN
16,4,PUNCT
607,8,NOUN
5,4,PRON
608,5,ADV
574,9,VERB
609,6,ADJ
24,13,ADP
610,7,PROPN
10,1,PUNCT
608,8,ADV
611,9,VERB
612,6,VERB
32,6,PRON
16,5,PUNCT
613,8,ADP
614,7,NOUN
27,4,CCONJ
615,10,NOUN
616,4,ADJ
10,13,PUNCT
617,8,PROPN
618,1,ADJ
24,13,ADP
619,7,NOUN
620,4,NOUN
621,4,PROPN
10,1,PUNCT
622,8,NOUN
10,4,PUNCT
619,8,NOUN
623,4,NOUN
10,4,PUNCT
624,8,NOUN
621,4,PROPN
10,1,PUNCT
27,8,CCONJ
619,10,NOUN
625,4,NOUN
626,4,NOUN
172,4,PUNCT
627,8,NOUN
628,4,ADJ
617,13,PROPN
16,1,PUNCT
142,8,SCONJ
199,11,CCONJ
107,10,CCONJ
10,10,PUNCT
629,8,PROPN
630,1,VERB
581,6,PROPN
631,1,PROPN
632,1,VERB
75,6,ADP
34,7,NOUN
629,4,PROPN
16,1,PUNCT
633,8,CCONJ
634,10,DET
635,3,NOUN
10,4,PUNCT
636,8,PROPN
637,1,ADV
197,9,VERB
638,6,VERB
639,6,ADP
640,7,NOUN
629,4,PROPN
5,1,PRON
641,5,ADV
172,9,PUNCT
641,8,ADV
642,9,ADJ
36,13,DET
643,3,SCONJ
644,11,ADV
107,9,DET
2,3,AUX
645,2,NOUN
631,4,PROPN
16,1,PUNCT
646,8,PROPN
647,1,VERB
648,6,NOUN
27,4,CCONJ
649,10,VERB
10,6,PUNCT
650,8,PUNCT
56,8,ADP
651,7,NOUN
652,4,VERB
653,6,NOUN
7,4,ADP
654,7,NOUN
5,4,PRON
102,5,PART
584,14,VERB
653,6,NOUN
284,4,PUNCT
655,8,ADV
656,9,NOUN
657,4,DET
221,3,VERB
111,6,ADP
658,7,NOUN
659,4,ADJ
10,13,PUNCT
660,8,ADV
111,9,ADP
661,7,NOUN
662,4,PROPN
7,1,ADP
663,7,PROPN
16,1,PUNCT
664,8,NOUN
665,4,NOUN
666,4,NOUN
284,4,PUNCT
667,8,DET
668,3,PROPN
669,1,VERB
46,6,ADP
670,7,NUM
24,12,ADP
671,7,PROPN
672,1,PROPN
673,1,PROPN
16,1,PUNCT
436,8,ADP
674,7,NOUN
139,4,PUNCT
675,8,PROPN
676,1,PROPN
276,1,PROPN
677,1,PROPN
139,1,PUNCT
132,8,PUNCT
48,8,NUM
135,12,PUNCT
10,8,PUNCT
678,8,ADP
679,7,NOUN
149,4,NOUN
10,4,PUNCT
596,8,DET
587,3,NOUN
680,4,ADJ
5,13,PRON
681,5,NOUN
107,4,DET
682,3,VERB
683,6,ADJ
172,13,PUNCT
683,8,ADJ
684,13,NUM
685,12,NOUN
686,4,ADP
242,7,NOUN
10,4,PUNCT
687,8,ADV
688,9,VERB
689,6,NOUN
690,4,NOUN
691,4,NOUN
5,4,PRON
218,5,VERB
692,6,NUM
685,12,NOUN
686,4,ADP
242,7,NOUN
16,4,PUNCT
693,8,NOUN
36,4,DET
694,3,VERB
38,6,ADP
695,7,PROPN
696,1,PROPN
10,1,PUNCT
27,8,CCONJ
697,10,VERB
698,6,PROPN
699,1,PROPN
10,1,PUNCT
700,8,PROPN
10,1,PUNCT
701,8,PROPN
10,1,PUNCT
702,8,PROPN
703,1,PROPN
10,1,PUNCT
704,8,PROPN
10,1,PUNCT
705,8,PROPN
706,1,PROPN
10,1,PUNCT
27,8,CCONJ
707,10,PROPN
16,1,PUNCT
708,8,DET
524,3,ADV
709,9,NOUN
710,4,NOUN
10,4,PUNCT
709,8,NOUN
711,4,NOUN
10,4,PUNCT
27,8,CCONJ
128,10,NOUN
172,4,PUNCT
128,8,NOUN
712,4,ADJ
5,13,PRON
713,5,VERB
714,6,PROPN
172,1,PUNCT
715,8,PROPN
16,1,PUNCT
716,8,NOUN
5,4,PRON
201,5,VERB
7,6,ADP
251,7,PROPN
717,1,PROPN
718,1,ADP
194,7,PUNCT
719,8,PROPN
720,1,PROPN
7,1,ADP
251,7,NOUN
717,4,PROPN
718,1,ADP
194,7,PUNCT
721,8,PROPN
10,1,PUNCT
722,8,PROPN
723,1,PROPN
27,1,CCONJ
722,10,PROPN
724,1,PROPN
16,1,PUNCT
650,8,PUNCT
725,8,PROPN
726,1,PROPN
10,1,PUNCT
282,8,ADV
727,9,PRON
728,5,VERB
104,6,NOUN
5,4,PRON
729,5,PROPN
730,1,VERB
731,6,NOUN
732,4,PUNCT
727,8,PRON
733,5,VERB
734,6,NOUN
735,4,NOUN
736,4,NOUN
284,4,PUNCT
737,8,NOUN
738,4,NOUN
739,4,PROPN
5,1,PRON
740,5,ADV
741,9,VERB
742,6,DET
743,3,NOUN
2,4,AUX
744,2,NOUN
745,4,NOUN
179,4,NOUN
5,4,PRON
746,5,ADJ
747,13,VERB
748,6,NOUN
749,4,CCONJ
750,10,NOUN
751,4,ADJ
75,13,ADP
92,7,NOUN
16,4,PUNCT
752,8,SCONJ
10,11,PUNCT
753,8,NOUN
177,4,ADJ
754,13,PROPN
755,1,PROPN
5,1,PRON
196,5,VERB
756,6,NOUN
757,4,PROPN
758,1,PROPN
132,1,PUNCT
447,8,PROPN
759,1,PROPN
760,1,NOUN
757,4,PROPN
761,1,PROPN
135,1,PUNCT
762,8,VERB
264,6,VERB
763,6,NOUN
24,4,ADP
764,7,VERB
757,6,PROPN
765,1,PROPN
27,1,CCONJ
757,10,PROPN
766,1,PROPN
223,1,SCONJ
454,11,ADV
767,9,VERB
768,6,NOUN
769,4,ADJ
7,13,ADP
770,7,PROPN
759,1,PROPN
16,1,PUNCT
771,8,PRON
772,5,NOUN
654,4,NOUN
36,4,DET
284,3,PUNCT
773,8,PROPN
2,1,AUX
774,2,NOUN
5,4,PRON
775,5,VERB
7,6,ADP
8,7,NOUN
776,4,PROPN
10,1,PUNCT
276,8,PROPN
777,1,PROPN
10,1,PUNCT
778,8,PROPN
10,1,PUNCT
15,8,PROPN
16,1,PUNCT
779,8,PROPN
780,1,PROPN
132,1,PUNCT
781,8,NOUN
426,4,PROPN
194,1,PUNCT
782,8,PROPN
783,1,PROPN
784,1,PROPN
132,1,PUNCT
785,8,PROPN
135,1,PUNCT
135,8,PUNCT
786,8,VERB
46,6,ADP
242,7,NOUN
787,4,PROPN
788,1,NUM
111,12,ADP
789,7,VERB
790,6,PROPN
780,1,PROPN
183,1,PROPN
5,1,PRON
337,5,ADV
791,9,VERB
199,6,ADP
792,7,NOUN
793,4,ADJ
38,13,ADP
794,7,NOUN
183,4,PROPN
184,1,PROPN
795,1,ADP
796,7,PRON
797,5,PROPN
183,1,PROPN
16,1,PUNCT
798,8,NOUN
799,4,VERB
800,6,NOUN
24,4,ADP
801,7,NOUN
802,4,NOUN
5,4,PRON
803,5,ADJ
749,13,CCONJ
804,10,NOUN
805,4,ADJ
5,13,PRON
806,5,VERB
16,6,PUNCT
124,8,NOUN
36,4,DET
807,3,VERB
808,6,PROPN
64,1,PUNCT
809,8,PROPN
132,1,PUNCT
810,8,PROPN
811,1,PROPN
422,1,PROPN
135,1,PUNCT
16,8,PUNCT
319,8,PRON
2,5,AUX
812,2,NOUN
129,4,ADJ
813,13,PROPN
814,1,PROPN
16,1,PUNCT
815,8,NOUN
816,4,NOUN
817,4,PROPN
818,1,VERB
819,6,NOUN
5,4,PRON
820,5,VERB
821,6,NOUN
172,4,PUNCT
821,8,NOUN
5,4,PRON
822,5,VERB
823,6,NOUN
46,4,ADP
824,7,DET
825,3,NOUN
826,4,NOUN
355,4,ADP
827,7,NOUN
828,4,ADV
829,9,VERB
10,6,PUNCT
830,8,NUM
7,12,ADP
157,7,ADP
831,7,ADV
832,9,VERB
833,6,ADJ
147,13,VERB
823,6,NOUN
816,4,NOUN
521,4,ADV
16,9,PUNCT
834,8,VERB
3,6,DET
835,3,NOUN
836,4,ADV
102,9,PART
837,14,ADJ
10,13,PUNCT
838,8,SCONJ
32,11,PRON
839,5,VERB
181,6,SCONJ
840,11,PROPN
24,1,ADP
841,7,NOUN
5,4,PRON
842,5,ADJ
349,13,ADV
842,9,VERB
843,6,NOUN
596,4,DET
738,3,NOUN
844,4,NOUN
111,4,ADP
264,7,VERB
84,6,NOUN
199,4,ADP
845,7,NOUN
16,4,PUNCT
846,8,DET
81,3,DET
847,3,NOUN
2,4,AUX
848,2,NOUN
849,4,NOUN
660,4,SCONJ
850,11,NOUN
26,4,NOUN
851,4,ADV
441,9,VERB
852,6,VERB
46,6,ADP
853,7,NOUN
854,4,NUM
10,12,PUNCT
4,8,NOUN
855,4,PROPN
856,1,PROPN
851,1,ADV
852,9,VERB
850,6,NOUN
857,4,SCONJ
4,11,NOUN
252,4,ADJ
858,13,ADV
852,9,VERB
16,6,PUNCT
859,8,NOUN
